Indian Thalipith
Papadom
Rajmah
Bhel Puri
Dosai
Khichdi
Koftay
Capati
Curry
Indian Paneer Tikka
Bread
Mooli Paratha
Chicken Makhani
Vegetable Biryani
Aloo Paratha
Onion Pakoda
Vegetable Balti
Chicken Beryani
Cooked Chickpeas
Orange Lentils
Puliyogre
Mughlai Paratha
Uttapam
Mulligatawny Soup
Athirasam
Aloo Baigan
Indian - Kalay Chany
Chana Shag
Chakodi
Vegetable Jhalfrezi
Sarevda-papdi
Tomato Chicken
Akbari Kofta
Chole (Curried Chickpeas)
Palak Paneer
Lamb Madras Curry
Channa Dal Masala
Cheese
Mutton / Lamb Biryani
Banana Leaf Rice
Lapsi (Sweet Bulgur)
Dhokla
Indian Mattar Paneer
Shimla Mirch Aloo
Majjige Hulli
Butter Masala Paneer
Food Indian Stew
Hing Spice
Indian Tandoori Wrap
Sardine Paratel
Aladdin Food
Spicy Indian Rice
Samosa - Meat and Veg
Aloo Gobi
Buffet Plate - Extra Chicken
Shev Dahi Batata Puri
Punjabi Curry With Pakora
Mr. Kebab Beef Biryani
Aloo Pat Gobi
Aloo Baigan Cooked Vegitable
String Hoppers (Idiyapam)
Aloo Gobi Masala Internet
